
 MIDACO 6.0    (www.midaco-solver.com)
 -------------------------------------

 LICENSE-KEY:  MIDACO_LIMITED_VERSION___[CREATIVE_COMMONS_BY-NC-ND_LICENSE]

 ----------------------------------------
 | OBJECTIVES    2 | PARALLEL         1 |
 |--------------------------------------|
 | N             4 | MAXEVAL    1000000 |
 | NI            0 | MAXTIME     172800 |
 | M             0 | PRINTEVAL     1000 |
 | ME            0 | SAVE2FILE        1 |
 |--------------------------------------|
 | PARAM(10)  0.1000000E+04 PARETOMAX   |
 | PARAM(12)  0.1000000E+01 BALANCE     |
 ----------------------------------------


 [     EVAL,    TIME]   MULTI-OBJECTIVE PROGRESS   VIOLATION OF G(X)
 -------------------------------------------------------------------   [PARETO]
 [   214000, 3600.69]   PRO:          0.26590103   VIO:     0.000000   [    34]
 [   215000, 3617.56]   PRO:          0.26590103   VIO:     0.000000   [    34]
 [   216000, 3634.42]   PRO:          0.26590103   VIO:     0.000000   [    34]
 [   217000, 3651.24]   PRO:          0.26590103   VIO:     0.000000   [    34]
 [   218000, 3668.09]   PRO:          0.26590103   VIO:     0.000000   [    34]
 [   219000, 3684.92]   PRO:          0.26590103   VIO:     0.000000   [    34]
 [   220000, 3701.78]   PRO:          0.26590103   VIO:     0.000000   [    34]
 [   221000, 3718.62]   PRO:          0.26590103   VIO:     0.000000   [    34]
 [   222000, 3735.47]   PRO:          0.26590103   VIO:     0.000000   [    34]
 [   223000, 3752.29]   PRO:          0.26590103   VIO:     0.000000   [    34]
 [   224000, 3769.09]   PRO:          0.26590103   VIO:     0.000000   [    34]
 [   225000, 3785.91]   PRO:          0.26590103   VIO:     0.000000   [    34]
 [   226000, 3802.86]   PRO:          0.26590103   VIO:     0.000000   [    35]
 [   227000, 3820.32]   PRO:          0.26590103   VIO:     0.000000   [    37]
 [   228000, 3837.16]   PRO:          0.26590103   VIO:     0.000000   [    37]
 [   229000, 3853.99]   PRO:          0.26590103   VIO:     0.000000   [    37]
 [   230000, 3870.81]   PRO:          0.26590103   VIO:     0.000000   [    37]
 [   231000, 3887.61]   PRO:          0.26590103   VIO:     0.000000   [    37]
 [   232000, 3904.45]   PRO:          0.26590103   VIO:     0.000000   [    37]
 [   233000, 3921.31]   PRO:          0.26590103   VIO:     0.000000   [    37]
 [   234000, 3938.13]   PRO:          0.26590103   VIO:     0.000000   [    37]
 [   235000, 3954.99]   PRO:          0.26590103   VIO:     0.000000   [    37]
 [   236000, 3971.82]   PRO:          0.26590103   VIO:     0.000000   [    37]
 [   237000, 3988.65]   PRO:          0.26590103   VIO:     0.000000   [    37]
 [   238000, 4005.50]   PRO:          0.26590103   VIO:     0.000000   [    37]
 [   239000, 4022.34]   PRO:          0.26590103   VIO:     0.000000   [    37]
 [   240000, 4039.21]   PRO:          0.26590103   VIO:     0.000000   [    37]
 [   241000, 4056.05]   PRO:          0.26590103   VIO:     0.000000   [    37]
 [   242000, 4072.87]   PRO:          0.26590103   VIO:     0.000000   [    39]
 [   243000, 4089.43]   PRO:          0.26590103   VIO:     0.000000   [    41]
 [   244000, 4105.98]   PRO:          0.26590103   VIO:     0.000000   [    41]
 [   245000, 4122.58]   PRO:          0.26590103   VIO:     0.000000   [    41]
 [   246000, 4139.17]   PRO:          0.26590103   VIO:     0.000000   [    41]
 [   247000, 4155.77]   PRO:          0.26590103   VIO:     0.000000   [    41]
 [   248000, 4172.34]   PRO:          0.26590103   VIO:     0.000000   [    41]
 [   249000, 4188.91]   PRO:          0.26590103   VIO:     0.000000   [    41]
 [   250000, 4205.70]   PRO:          0.26590103   VIO:     0.000000   [    40]
 [   251000, 4222.54]   PRO:          0.26590103   VIO:     0.000000   [    40]
 [   252000, 4239.39]   PRO:          0.26590103   VIO:     0.000000   [    40]
 [   253000, 4256.24]   PRO:          0.26590103   VIO:     0.000000   [    40]
 [   254000, 4273.07]   PRO:          0.26590103   VIO:     0.000000   [    40]
 [   255000, 4289.91]   PRO:          0.26590103   VIO:     0.000000   [    40]
 [   256000, 4306.74]   PRO:          0.26590103   VIO:     0.000000   [    40]
 [   257000, 4323.61]   PRO:          0.26590103   VIO:     0.000000   [    40]
 [   258000, 4340.47]   PRO:          0.26590103   VIO:     0.000000   [    40]
 [   259000, 4357.34]   PRO:          0.26590103   VIO:     0.000000   [    40]
 [   260000, 4374.74]   PRO:          0.26590103   VIO:     0.000000   [    48]
 [   261000, 4392.83]   PRO:          0.26590103   VIO:     0.000000   [    48]
 [   262000, 4410.87]   PRO:          0.26590103   VIO:     0.000000   [    48]
 [   263000, 4428.87]   PRO:          0.26590103   VIO:     0.000000   [    48]
 [   264000, 4446.99]   PRO:          0.26590103   VIO:     0.000000   [    48]
 [   265000, 4465.15]   PRO:          0.26590103   VIO:     0.000000   [    48]
 [   266000, 4483.32]   PRO:          0.26590103   VIO:     0.000000   [    48]
 [   267000, 4501.50]   PRO:          0.26590103   VIO:     0.000000   [    48]
 [   268000, 4519.74]   PRO:          0.26590103   VIO:     0.000000   [    48]
